
[582, 0.011750317178666592]
[583, 0.015293118543922901]
[584, 0.009030533023178577]
[585, 0.016240844503045082]
[586, 0.012124666944146156]
[587, 0.012997052632272243]
[588, 0.007482066750526428]
[589, 0.01250302791595459]
[590, 0.016178900375962257]
[591, 0.010533350519835949]
[592, 0.009442532435059547]
[593, 0.011114162392914295]
[594, 0.017428699880838394]
[595, 0.014608696103096008]
[596, 0.012661874294281006]
[597, 0.008543714880943298]
[598, 0.012756871990859509]
[599, 0.015104413032531738]
[600, 0.007101339288055897]
[601, 0.009528085589408875]
[602, 0.008821740746498108]
[603, 0.009535855613648891]
[604, 0.008789914660155773]
[605, 0.01293417252600193]
[606, 0.011548573151230812]
[607, 0.010285756550729275]
[608, 0.008804458193480968]
[609, 0.013789105229079723]
[610, 0.011445948854088783]
[611, 0.010608864016830921]
[612, 0.012317839078605175]
[613, 0.007215440273284912]
[614, 0.012377220205962658]
[615, 0.007818350568413734]
[616, 0.00624719588086009]
[617, 0.010063138790428638]
[618, 0.00860190112143755]
[619, 0.009728843346238136]
[620, 0.007918963208794594]
[621, 0.007955828681588173]
[622, 0.01431055087596178]
[623, 0.010578093118965626]
[624, 0.01114870049059391]
[625, 0.012875241227447987]
[626, 0.009194633923470974]
[627, 0.010005980730056763]
[628, 0.009595883078873158]
[629, 0.011243191547691822]
[630, 0.006526753306388855]
[631, 0.011751013807952404]
[632, 0.014290371909737587]
[633, 0.009016371332108974]
[634, 0.011245417408645153]
[635, 0.010150203481316566]
[636, 0.007012275047600269]
[637, 0.011660861782729626]
[638, 0.0101317735388875]
[639, 0.011823686771094799]
[640, 0.009452191181480885]
[641, 0.010973498225212097]
[642, 0.00934967678040266]
[643, 0.012434902600944042]
[644, 0.006561899092048407]
[645, 0.011126450262963772]
[646, 0.010573836974799633]
[647, 0.00772095937281847]
[648, 0.010904568247497082]
[649, 0.014692178927361965]
[650, 0.009703737683594227]
[651, 0.007905897684395313]
[652, 0.010016018524765968]
[653, 0.00989659782499075]
[654, 0.009528043679893017]
[655, 0.01103539764881134]
[656, 0.008082089014351368]
[657, 0.008502534590661526]
[658, 0.009554976597428322]
[659, 0.007118651177734137]
[660, 0.006800198461860418]
[661, 0.008820516057312489]
[662, 0.008558285422623158]
