[788, 1.3731424808502197]
[789, 1.2770581245422363]
[790, 1.2660143375396729]
[791, 0.918613076210022]
[792, 1.2785266637802124]
[793, 0.8375107645988464]
[794, 1.0067914724349976]
[795, 1.468798279762268]
[796, 1.1109249591827393]
[797, 1.2676259279251099]
[798, 0.8149673342704773]
[799, 1.0460699796676636]
[800, 1.4550278186798096]
[801, 1.0073922872543335]
[802, 1.3161898851394653]
[803, 1.0761908292770386]
[804, 0.9709515571594238]
[805, 1.1083102226257324]
[806, 1.4332355260849]
[807, 1.1966776847839355]
[808, 0.8839355707168579]
[809, 1.167815089225769]
[810, 1.3988443613052368]
[811, 1.070962905883789]
[812, 1.3735297918319702]
[813, 1.505728006362915]
[814, 1.1651300191879272]
[815, 1.432861328125]
[816, 1.4006274938583374]
[817, 1.254719614982605]
[818, 1.315033197402954]
[819, 1.4066410064697266]
[820, 1.2134307622909546]
[821, 1.254600167274475]
[822, 1.1190168857574463]
[823, 0.991558849811554]
[824, 1.243873953819275]
[825, 1.2998536825180054]
[826, 1.1679176092147827]
[827, 1.241601824760437]
[828, 1.1538418531417847]
[829, 1.0687803030014038]
[830, 1.4044421911239624]
[831, 1.2631051540374756]
[832, 1.4354900121688843]
[833, 1.208991527557373]
[834, 1.1843299865722656]
[835, 1.4787677526474]
[836, 1.4092422723770142]
[837, 0.9725780487060547]
[838, 1.2706092596054077]
[839, 1.0487602949142456]
[840, 1.4535808563232422]
[841, 1.452649474143982]
[842, 1.072198510169983]
[843, 1.1862142086029053]
[844, 1.1959342956542969]
[845, 0.6762756109237671]
[846, 1.1639537811279297]
[847, 0.9929985404014587]
[848, 1.1267303228378296]
[849, 0.793650209903717]
[850, 1.4318357706069946]
[851, 0.8488079905509949]
[852, 1.178034782409668]
[853, 1.1268116235733032]
[854, 0.8458340764045715]
[855, 0.9830569624900818]
[856, 1.37233567237854]
[857, 1.3209370374679565]
[858, 1.1174132823944092]
[859, 1.2357819080352783]
[860, 1.136489748954773]
[861, 1.2030878067016602]
[862, 1.4054358005523682]
[863, 1.4464651346206665]
[864, 1.2562551498413086]
[865, 1.171723484992981]
[866, 1.4174197912216187]
[867, 0.8989897966384888]
[868, 1.2912107706069946]
[869, 0.8172433972358704]
[870, 1.0587209463119507]
[871, 1.552606463432312]
[872, 1.003830075263977]
[873, 0.9855566024780273]
[874, 0.9291872382164001]
[875, 1.2434296607971191]
[876, 1.365723729133606]
[877, 1.4079443216323853]
[878, 0.8992816805839539]
[879, 1.058477759361267]
[880, 1.166560173034668]
[881, 1.676304817199707]
[882, 0.9273149371147156]
[883, 1.3541630506515503]
[884, 1.5532740354537964]
[885, 1.5295681953430176]
[886, 1.5798453092575073]
[887, 0.5850472450256348]
[888, 1.2048853635787964]
[889, 1.6756073236465454]
[890, 1.4444961547851562]
[891, 1.072343111038208]
[892, 1.3577262163162231]
[893, 1.459272027015686]
[894, 1.2586498260498047]
[895, 1.476247787475586]
[896, 1.229781150817871]
[897, 0.8636469841003418]
[898, 1.3463867902755737]
[899, 1.4553297758102417]
[900, 0.9361692667007446]
[901, 1.2961000204086304]
[902, 1.3292063474655151]
[903, 0.7385403513908386]
[904, 1.2269624471664429]
[905, 1.2932474613189697]
[906, 1.5951557159423828]
[907, 1.1536463499069214]
[908, 1.1303070783615112]
[909, 0.9939099550247192]
[910, 0.8846325874328613]
[911, 0.5043613314628601]
[912, 1.4172314405441284]
[913, 0.8924643397331238]
[914, 1.5109175443649292]
[915, 1.0443865060806274]
[916, 1.2997111082077026]
[917, 1.4678442478179932]
[918, 1.3775619268417358]
[919, 1.3828344345092773]
[920, 0.8800410628318787]
[921, 1.0313304662704468]
[922, 1.4995254278182983]
[923, 1.231765866279602]
[924, 1.4101892709732056]
[925, 1.4199862480163574]
[926, 1.3403267860412598]
[927, 1.5559849739074707]
[928, 1.3157234191894531]
[929, 1.2619030475616455]
[930, 1.1454352140426636]
[931, 1.4162079095840454]
[932, 1.3653486967086792]
[933, 1.2264734506607056]
[934, 1.0894583463668823]
[935, 1.2954202890396118]
[936, 0.7919149398803711]
[937, 1.1810619831085205]
[938, 1.3467715978622437]
[939, 1.26663339138031]
[940, 1.0164673328399658]
[941, 1.0390630960464478]
[942, 1.1018586158752441]
[943, 0.9875728487968445]
[944, 1.2933170795440674]
[945, 1.03672194480896]
[946, 1.374927043914795]
[947, 1.2513312101364136]
[948, 1.4730134010314941]
[949, 1.0660823583602905]
[950, 1.4757753610610962]
[951, 1.0915273427963257]
